               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.044123,             0.13203,                   0,             0.63485,              0.5082,             0.52281,             0.21228,            0.047702,             0.28234,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.043258,             0.13034,                   0,             0.81273,             0.61545,             0.68827,             0.31383,            0.045083,             0.24729,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,            0.043375,             0.12669,                   0,             0.74152,             0.64301,             0.68111,             0.29984,            0.047695,             0.21531,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,            0.043065,             0.13368,                   0,              0.8236,              0.7238,             0.75441,             0.34858,            0.043409,             0.20906,                   0,             0.00901,             0.00901,             0.00901
                  42,            0.043396,             0.13707,                   0,             0.81021,              0.7066,              0.7251,              0.3266,            0.042591,              0.2097,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.042526,             0.12956,                   0,             0.70816,             0.61354,             0.58504,             0.22174,            0.046633,             0.21259,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,            0.042164,              0.1402,                   0,             0.78798,              0.7238,             0.74581,             0.33033,            0.045018,             0.21426,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.044742,             0.13615,                   0,             0.81974,             0.73799,             0.74704,             0.33281,            0.043528,             0.20929,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.045026,             0.11457,                   0,             0.84061,             0.71343,             0.75858,             0.36548,            0.041625,             0.21073,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,            0.038152,              0.1627,                   0,             0.82443,              0.7309,             0.76422,             0.35847,            0.040355,             0.21447,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.038439,              0.1532,                   0,             0.83889,             0.71199,              0.7489,             0.36527,            0.041562,             0.21531,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,            0.041325,             0.11435,                   0,             0.83632,             0.68013,             0.72873,             0.33171,            0.044637,             0.23407,                   0,            0.008812,            0.008812,            0.008812
